tv,name,sector,industry,mcap_b,summary
NYSE:APD,"Air Products and Chemicals, Inc",Basic Materials,Specialty Chemicals,66.2,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and related services in the Americas, Asia, Europe, the Middle East, India, and internationally. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, and syngas; and specialty gases for customers in "
NYSE:APG,APi Group Corporation,Industrials,Engineering & Construction,16.8,"APi Group Corporation provides fire and life safety, security, elevator and escalator, and specialty services worldwide. It operates in two segments, Safety Services and Specialty Services. The company offers fire protection solutions; electronic security systems; and elevators and escalators, including the design, installation, inspection, service, and monitoring of life safety systems to high te"
NYSE:APH,Amphenol Corporation,Technology,Electronic Components,201.1,"Amphenol Corporation, together with its subsidiaries, designs, manufactures, and markets electrical, electronic, and fiber optic connectors in the United States, China, and internationally. It operates through three segments: Communications Solutions, Harsh Environment Solutions, and Interconnect and Sensor Systems. The company offers connectors and connector systems, including high speed, radio f"
NYSE:APO,"Apollo Global Management, Inc. ",Financial Services,Asset Management,76.8,"Apollo Global Management, Inc. is a private equity firm specializing in investments in credit, private equity, infrastructure, secondaries and real estate markets. The firm prefers to invest in private and public markets. The firm's private equity investments include traditional buyouts, recapitalization, distressed buyouts and debt investments in real estate, corporate partner buyouts, distressed"
NASDAQ:APP,Applovin Corporation,Communication Services,Advertising Agencies,104.1,"AppLovin Corporation provides end-to-end artificial intelligence-powered advertising solutions for businesses in the United States and internationally. It operates through two segments, Advertising and Apps. The company offers Axon Ads Manager, a suite of marketing solutions that enables developers to automate, optimize, and manage marketing efforts; MAX, an in-app bidding technology that optimize"
NYSE:APTV,Aptiv PLC,Consumer Cyclical,Auto Parts,9.3,"Aptiv PLC, an industrial technology company, provides hardware and software solutions to support automotive and other industries in North America, Europe, the Middle East, Africa, the Asia Pacific, and South America. It operates through three segments: Advanced Safety and User Experience, Engineered Components, and Electrical Distribution Systems. The company offers active safety, user experience "
NYSE:AR,Antero Resources Corporation,Energy,Oil & Gas E&P,11.9,"Antero Resources Corporation, an independent oil and natural gas company, engages in the development, production, exploration, and acquisition of natural gas, natural gas liquids (NGLs), and oil properties in the United States. It operates in three segments: Exploration and Production; Marketing; and Equity Method Investment in Antero Midstream. As of December 31, 2025, the company had approximate"
NASDAQ:ARCC,Ares Capital Corporation,Financial Services,Asset Management,14.1,"Ares Capital Corporation is a business development company specializing in growth capital, acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in sports, media & entertainment, industrials & business ser"
NYSE:ARES,Ares Management Corporation,Financial Services,Asset Management,44.3,"Ares Management Corporation operates as an alternative asset manager. Its Direct Lending Group segment provides financing solutions to small-to-medium sized companies. The company's Private Equity Group segment specializes in early venture, turnaround, mid venture, late venture, recapitalization, growth capital, middle market, mezzanine, distressed and growth buyouts. The firm seeks to invest in h"
NASDAQ:ARGX,argenx SE,Healthcare,Biotechnology,62.6,"argenx SE, a commercial-stage biopharma company, develops various therapies for the treatment of autoimmune diseases in the United States, Japan, China, the Netherlands, and internationally. The company offers VYVGART for the treatment of gMG and immune thrombocytopenia (ITP), and VYVGART HYTRULO for the treatment of gMG and chronic inflammatory demyelinating polyneuropathy (CIDP). It also develop"
NASDAQ:ARM,Arm Holdings plc,Technology,Semiconductors,282.8,"Arm Holdings plc researches, develops, licenses, and markets central processing unit (CPU) intellectual property (IP), graphics processing unit IP, systems IP, compute subsystems (CSS), and associated software, tools and related services. The company provides a product portfolio, including CPU IP, GPU and neural processing unit (NPU) accelerators, system IP such as interconnects, compute platform "
NYSE:ARMK,Aramark,Industrials,Specialty Business Services,15.2,"Aramark provides food and facilities services to education, healthcare, business and industry, sports, leisure, and corrections clients in the United States and internationally. The company operates in two segments, Food and Support Services United States, and Food and Support Services International. It offers food-related managed services, including dining, catering, food service management, and "
NYSE:ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,11.0,"Arrow Electronics, Inc. sources and engineers technology for manufacturers, service providers, and users of enterprise computing solutions in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates in two segments, Global Components and Global Enterprise Computing Solutions. The Global Components segment markets and distributes electronic components, including semiconducto"
NASDAQ:ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,11.9,"Arrowhead Pharmaceuticals, Inc. develops medicines for the treatment of intractable diseases in the United States. Its pipeline includes Plozasiran to reduce production of apolipoprotein C-III in Phase 3 studies; Zodasiran to reduce production of angiopoietin-like protein 3 in Phase 3 clinical trials; ARO-DIMER-PA, a dual functional RNAi molecule in a Phase 1/2a clinical trials; and ARO-PNPLA3, an"
TSX:ARX,ARC RESOURCES LTD.,Energy,Oil & Gas E&P,19.2,"ARC Resources Ltd. acquires and develops crude oil, natural gas, condensate, and natural gas liquids in Canada. It primarily holds interests in the Montney assets located in Alberta and northeast British Columbia. The company was founded in 1996 and is based in Calgary, Canada. As of September 2, 2026, ARC Resources Ltd. operates as a subsidiary of Shell Canada Limited."
